year	dollars_per_L_2015
1861	0.0809725667224993
1862	0.15616137867910582
1863	0.37985200219241955
1864	0.7651432900629744
1865	0.6391947114877684
1866	0.3792490625063998
1867	0.25601967524941827
1868	0.4049041461465386
1869	0.406019584565675
1870	0.4532202418807129
1871	0.537889193228031
1872	0.45113287173963884
1873	0.22680581189108218
1874	0.15353681769290228
1875	0.18252628676778598
1876	0.3569402941236703
1877	0.33742012178878206
1878	0.18308575431343435
1879	0.13703957720819485
1880	0.14616089630064086
1881	0.1323140745458433
1882	0.12000578854157883
1883	0.15934834559092426
1884	0.13881011438142737
1885	0.145420119828162
1886	0.11732759667953976
1887	0.11071759123280517
1888	0.145420119828162
1889	0.15533512799826393
1890	0.14376761846647834
1891	0.11071759123280517
1892	0.09254007625428491
1893	0.10576008714775417
1894	0.14414896493455917
1895	0.24271940000409584
1896	0.2105947735329655
1897	0.1409914161788498
1898	0.16240783382627003
1899	0.2302264897097674
1900	0.21237947500358387
1901	0.17133134117936175
1902	0.137284728509104
1903	0.15533512799826393
1904	0.14211511710479469
1905	0.10245508442438686
1906	0.1206325994029071
1907	0.11473080882546546
1908	0.11898009804122343
1909	0.11567509531785612
1910	0.0972024908104638
1911	0.09720249081046381
1912	0.11385164553944659
1913	0.1427160266908615
1914	0.12005400701566797
1915	0.09391291941102102
1916	0.1500812986218999
1917	0.18123712192569205
1918	0.19585019115399369
1919	0.17316759850994107
1920	0.22833356726713502
1921	0.1440413433079434
1922	0.14309871372753746
1923	0.1170032444451433
1924	0.12460585091548365
1925	0.14278355969733375
1926	0.1582681475919415
1927	0.11153381631831534
1928	0.10174093406190443
1929	0.11043674039198174
1930	0.10619438550195928
1931	0.06359656268437042
1932	0.09490086915471076
1933	0.07702996595193316
1934	0.11127292722046456
1935	0.10528842947473692
1936	0.11720882505424975
1937	0.12245359039795706
1938	0.11948854853101197
1939	0.10940794286954279
1940	0.10835872145772928
1941	0.11536247563888873
1942	0.1087844924654217
1943	0.10338364090145735
1944	0.1024593480976432
1945	0.08690737627604772
1946	0.08540465507242731
1947	0.12672650658229917
1948	0.12314695908030213
1949	0.11126606956417819
1950	0.10581974875744556
1951	0.09804450824407027
1952	0.09597960830445257
1953	0.10746469178926579
1954	0.10694678966016091
1955	0.1073783747677483
1956	0.10582466838043361
1957	0.1005257871838578
1958	0.1071964977966752
1959	0.10626624181348161
1960	0.09554056922264084
1961	0.08962658607307515
1962	0.08866055101360489
1963	0.08761401303251211
1964	0.08640646920817427
1965	0.08495741661896884
1966	0.08264966619912321
1967	0.08031508147207005
1968	0.07709496460716916
1969	0.07315032144766553
1970	0.06907150675212438
1971	0.08234912195839914
1972	0.08839936375678514
1973	0.11040513554127067
1974	0.3502744733179442
1975	0.31954099219370136
1976	0.3352737974299786
1977	0.3421982413253914
1978	0.3205666215484454
1979	0.6490912540781398
1980	0.6663346375758512
1981	0.5892657731119335
1982	0.5093420314516542
1983	0.4422990729483755
1984	0.41294586751794826
1985	0.3818429918623026
1986	0.1962789198116047
1987	0.2419265994924224
1988	0.1880675086381194
1989	0.21912415927017873
1990	0.2706222692681793
1991	0.21894965885418077
1992	0.20529867143044878
1993	0.17509498113657876
1994	0.15911182159048526
1995	0.16645917567860788
1996	0.19638289329381978
1997	0.17734038018733755
1998	0.11629719394603817
1999	0.1608025170828368
2000	0.2466949405886969
2001	0.20576412670941063
2002	0.207362650073882
2003	0.2335905628000724
2004	0.30198657881750357
2005	0.41617900236986205
2006	0.4817283360532604
2007	0.5204795212884852
2008	0.6734170117566087
2009	0.42854707411742643
2010	0.5434912668323573
2011	0.7373522242047253
2012	0.7250913204907139
2013	0.6953538986443865
2014	0.6230915386954596
2015	0.32950341155742696
